0.00000000000000e+00 1.000e+00
-1.01328704227805e+07   inf
-1.01189459899075e+07 1.374e-03
-1.01087659561257e+07 1.006e-03
-1.01005871804867e+07 8.091e-04
-1.00938132704326e+07 6.706e-04
-1.00880956165695e+07 5.665e-04
-1.00831893499948e+07 4.863e-04
-1.00789542808983e+07 4.200e-04
-1.00752517539742e+07 3.674e-04
-1.00719882800776e+07 3.239e-04
-1.00691011484728e+07 2.866e-04
-1.00665327437452e+07 2.551e-04
-1.00642228789623e+07 2.295e-04
-1.00621566283762e+07 2.053e-04
-1.00602986024523e+07 1.847e-04
-1.00586059927963e+07 1.682e-04
-1.00570697234292e+07 1.527e-04
-1.00556822531979e+07 1.380e-04
-1.00544081258848e+07 1.267e-04
-1.00532422821051e+07 1.160e-04
