0.00000000000000e+00 1.000e+00
-6.94697939421638e+06   inf
-6.77984928341238e+06 2.406e-02
-6.74690742256931e+06 4.859e-03
-6.72688329282028e+06 2.968e-03
-6.71185737309966e+06 2.234e-03
-6.69995666663850e+06 1.773e-03
-6.69090773072188e+06 1.351e-03
-6.68321100489673e+06 1.150e-03
-6.67713557279935e+06 9.091e-04
-6.67226932301457e+06 7.288e-04
-6.66781340366715e+06 6.678e-04
-6.66430612046876e+06 5.260e-04
-6.66035928829107e+06 5.922e-04
-6.65669872730705e+06 5.496e-04
-6.65293192490371e+06 5.659e-04
-6.65014673112644e+06 4.186e-04
-6.64706496106797e+06 4.634e-04
-6.64450539260510e+06 3.851e-04
-6.64207890234181e+06 3.652e-04
-6.63972696473478e+06 3.541e-04
